fir_id,fir_text,bns_section
1,The accused actively instigated my employee to steal from my company accounts.,46
2,The accused abetted his brother to commit fraud by providing him with all necessary information.,46
3,The accused aided the main offender by providing tools and instructions to break into my shop.,46
4,The accused encouraged his associate to attack me by offering money for the act.,46
5,The accused instigated a group of persons to riot by giving inflammatory speeches.,46
6,The accused in India helped plan a robbery to be committed in a foreign country.,47
7,The accused from India abetted a crime to be committed abroad by coordinating over phone.,47
8,The accused abetted the commission of an offence in another country from within India.,47
9,The accused provided funds from India to help commit an offence in a foreign country.,47
10,The accused coordinated via email from India to assist in committing a crime outside India.,47
11,The accused from outside India abetted the commission of theft in India.,48
12,The accused operating abroad abetted a fraud to be committed on victims in India.,48
13,The accused from a foreign country abetted a murder to be committed in India.,48
14,The accused living abroad helped plan a kidnapping to occur within India.,48
15,The accused outside India provided instructions to commit an offence within India.,48
16,The accused and the offender planned the robbery together and the accused was present.,49
17,The accused abetted the crime and the offence was committed as a direct result.,49
18,The accused instigated his associate and the associate committed the offence in consequence.,49
19,The accused encouraged the offender and the offence was committed as a result of such encouragement.,49
20,The accused provided material assistance and the offence was committed using that assistance.,49
21,The accused abetted a theft and the thief committed the act with a different intention.,50
22,The accused abetted assault but the person committed murder instead with different intent.,50
23,The accused abetted theft intending one thing but the abetted person did another act.,50
24,The accused abetted the person to rob but the person committed dacoity instead.,50
25,The accused instigated a minor offence but the abetted person committed a serious one.,50
26,The accused abetted an act and both he and the offender are liable for the same offence.,51
27,The accused who abetted the crime is equally liable as the person who committed it.,51
28,The accused abetted the offence and is liable along with the main offender for the act.,51
29,The accused who instigated the crime shares cumulative liability with the perpetrator.,51
30,The accused who aided in the offence is jointly liable with the person who committed it.,51
31,The accused abetted one offence but a different act with different effect was done as a result.,52
32,The accused instigated one act but the abetted person committed a different offence.,52
33,The accused abetted theft but the person abetted caused grievous hurt instead.,52
34,The accused who abetted a minor offence is liable for the more serious offence actually committed.,52
35,The accused abetted an act and a different effect harmful to me was caused as a result.,52
36,The accused was present at the scene when the offence he had abetted was committed.,53
37,The accused was at the location when his associate committed the offence as a result of his abetment.,53
38,The accused who had abetted the offence was physically present when it was committed.,53
39,The accused stood by and watched while his associate committed the crime he had abetted.,53
40,The accused was present at the time the offence he instigated was committed.,53
41,The accused abetted a murder but the murder was not committed and no express provision applies.,54
42,The accused instigated an attempt to kill me but the killing was not carried out.,54
43,The accused abetted the commission of a capital offence that did not actually occur.,54
44,The accused encouraged his associate to commit a murder but the act was not committed.,54
45,The accused provided assistance for a planned killing that was ultimately not executed.,54
46,The accused abetted the commission of a theft but the theft was not completed.,55
47,The accused instigated someone to commit robbery but the robbery did not take place.,55
48,The accused abetted fraud but the fraud was not committed in consequence.,55
49,The accused helped plan a crime but the crime did not ultimately occur.,55
50,The accused provided assistance for an offence that was not committed in the end.,55
51,The accused was present at the scene and participated in the commission of the offence.,56
52,The accused was present during the crime and actively took part in committing it.,56
53,The accused was present when the offence was committed and is deemed to have committed it.,56
54,The accused was at the scene during the robbery and participated actively.,56
55,The accused was physically present and assisted during the commission of the offence.,56
56,The accused and his associates conspired to commit robbery and they committed it.,57
57,The accused along with two others conspired to commit murder and carried out the plan.,57
58,The accused and his partners formed a criminal conspiracy to commit cheating.,57
59,The accused was part of a conspiracy to commit dacoity in our area.,57
60,The accused and others conspired to commit an offence punishable with life imprisonment.,57
61,The accused and associates conspired to commit a minor offence not punishable with long imprisonment.,58
62,The accused conspired with others to commit a petty offence punishable with less than two years.,58
63,The accused was party to a conspiracy to commit a minor criminal act.,58
64,The accused participated in a conspiracy to commit a lesser offence.,58
65,The accused and another person conspired to commit a small criminal act together.,58
66,The accused abetted the act but a different act was done and the accused is still liable.,59
67,The accused who abetted the act is liable even though the act done was different from intended.,59
68,The accused is liable for the different act done by the person he abetted.,59
69,The accused who abetted under influence of instigation is liable for the resulting act.,59
70,The accused who conspired is liable for the consequential act done by his associate.,59
71,The accused abetted in India for an offence committed by a person outside India.,60
72,The accused from India abetted a crime committed by a foreign national abroad.,60
73,The accused in India abetted a crime committed outside India by another person.,60
74,The accused provided assistance in India for an offence committed abroad.,60
75,The accused coordinated from within India to help someone commit a crime outside.,60
76,The accused was part of an illegal assembly that committed the offence together.,61
77,The accused joined a group where each member committed an illegal act cooperating together.,61
78,The accused cooperated with others in the commission of a criminal act.,61
79,The accused and associates cooperated in the commission of an offence together.,61
80,The accused was part of a group that illegally cooperated to commit the offence.,61
81,The accused attempted to commit robbery but was caught before completing the act.,62
82,The accused attempted to murder me by firing but missed and caused only injury.,62
83,The accused attempted to commit theft but was interrupted and ran away.,62
84,The accused attempted to commit cheating but the fraud was discovered in time.,62
85,The accused attempted to commit dacoity but was overpowered by bystanders.,62
86,A man forcefully had sexual intercourse with me in an isolated area last night against my will.,63
87,The accused entered my room at night and raped me while my family was asleep.,63
88,I was returning from work when a man dragged me into a dark alley and raped me.,63
89,The accused threatened to harm my family and repeatedly forced sexual intercourse on me.,63
90,I was raped by an acquaintance after he mixed something in my drink at a gathering.,63
91,The accused raped me in his vehicle after offering to drop me home from a party.,64
92,My rapist was identified by CCTV footage near where the assault took place.,64
93,DNA evidence confirms the accused raped me in the hotel room that night.,64
94,The accused forced himself on me in the staircase of the apartment building.,64
95,A witness saw the accused dragging me into the building where the rape occurred.,64
96,A 14-year-old girl was raped by the accused neighbour at his residence.,65
97,The accused raped a minor student who was only 15 years old.,65
98,A 15-year-old victim was found traumatised after being assaulted in the park.,65
99,A school teacher raped a 13-year-old student on school premises after hours.,65
100,A minor victim aged 12 years was sexually assaulted near the playground.,65
101,My estranged husband forced sexual intercourse on me while we are living separately.,66
102,My husband who knows we are separated came to my residence and forced himself on me.,66
103,My separated husband threatened me and had sexual intercourse with me against my will.,66
104,My husband forced sexual intercourse on me despite us living separately under court order.,66
105,The accused husband coerced me into sexual intercourse while I am living separately.,66
106,My boss in a supervisory position abused his authority to coerce me into sexual intercourse.,67
107,The jail superintendent coerced a female prisoner under his custody into sexual relations.,67
108,A doctor used his position of authority over his patient to coerce her into sexual relations.,67
109,A public servant abused his official power to pressure me into sexual relations.,67
110,The warden abused his authority over me as a detainee to force sexual intercourse.,67
