fir_id,fir_text,ipc_section
1,My motorcycle was stolen from the parking area outside my apartment building last night.,379
2,I discovered my motorcycle missing from the spot where I had parked it in front of my residential building.,379
3,"When I went to retrieve my bike after returning home, it was gone from the parking area near the building gate.",379
4,Someone stole my mobile phone from my jacket pocket while I was standing at the bus stop.,379
5,My phone was pickpocketed from my coat pocket while I waited at the bus stop for my route.,379
6,"While I stood at the bus stop, an unknown person removed my mobile handset from my jacket without my notice.",379
7,My bicycle went missing from the cycle stand near the office where I had parked it this morning.,379
8,I had locked my bicycle at the stand outside my workplace in the morning and found it stolen when I came back.,379
9,The bicycle I had left at the office cycle parking was taken away by an unidentified person during working hours.,379
10,A thief stole my wallet containing cash and cards from my bag while I was shopping at the market.,379
11,"While I was buying vegetables at the market, someone removed my wallet with cash and bank cards from my bag.",379
12,My bag was pickpocketed at the busy market and my wallet containing currency and ATM cards was taken.,379
13,My scooter was taken away from the parking lot near the railway station sometime during the afternoon.,379
14,I had parked my scooter near the railway station and it was found missing when I returned in the afternoon.,379
15,An unknown person stole my scooter from the parking space adjacent to the train station during daytime.,379
16,I left my laptop bag on the seat of an auto-rickshaw and it was stolen before I could retrieve it.,379
17,My laptop bag which I had left inside the auto-rickshaw was taken away before I could go back for it.,379
18,"After forgetting my bag in an auto, I went back but found it had already been taken by an unknown person.",379
19,My gold chain was removed from my neck by an unknown person in the crowded metro station.,379
20,An unidentified individual took off my gold necklace while I was surrounded by passengers at the metro.,379
21,"While travelling through a busy metro station, someone slipped my gold chain off my neck without my knowledge.",379
22,Someone stole my wristwatch from the locker room at the gymnasium while I was exercising.,379
23,My wristwatch was taken from the changing room at the gym while I was busy working out on the floor.,379
24,An unidentified person stole my watch that I had left in the locker area of the gymnasium.,379
25,My purse containing five thousand rupees and my Aadhaar card was stolen at the vegetable market.,379
26,"At the vegetable market, someone took away my purse which had five thousand rupees cash and my identity card.",379
27,A thief stole my purse from me at the sabzi mandi and it contained both cash and my Aadhaar card.,379
